id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication,会员类型,会员等级
5226712205625067,QbcUcnBkT,7348918904,峰研·研路相伴,考研重灾区，万人扎堆报考的学校！……近几年考研越来越卷，热门院校报考人数居高不下，今天整理了25考研报考的“重灾区”院校，个个人数破万，大家可以参考一下！【985院校】1.清华大学清华大学共有近2万余名考生，与去年持平。2.北京大学北京大学通知，共有近2.7万名考生。3.天津大学天津大学有近1.4万名考生报考。4.上海交通大学上海交通大学共有近1.8万余名考生。5.南京大学南京大学有近2.7万名考生报考。6.中国人民大学中国人民大学有近2万余名考生报考。7.哈尔滨工业大学近2万名考生报考哈工大硕士研究生。8.华东师范大学共有近2万名考生报考华东师范大学硕士研究生。9.同济大学近1.7万名考生报考同济大学。8.西北工业大学2025年西北工业大学研究生报名人数为‌15000余人。【211院校】1.暨南大学暨南大学官方消息，25考研共计22171名考生选择报考暨南大学硕士研究生。2.西南财经大学近15000名考生报考。3.北京工业大学共有1.3万余名考生。4.华北电力大学（北京）全国共有1万余名考生报考。5.石河子大学2025年石河子大学硕士研究生报考人数为‌10407人【非985、211院校】1.河南大学河南大学2025年研究生报考人数近2.8万人2.深圳大学深圳大学2025年硕士研究生报考人数为21864人。3.山西大学共有1.6万余名考生报考山西大学。4.天津师范大学2025年天津师范大学统考报名人数为11064人。5.江西师范大学2025考研共有12806人报考。6.广东外语外贸大学报考广外考生为10819人。7.福建师范大学一共有1.5万名考生报考福建师范大学的硕士研究生。根据去年数据，大家预估自己竞争对手的人数，从而激励自己更努力备考！#考研##2026考研#考研超话,,,,"考研,2026考研",0,0,0,2025-10-28 13:19,微博网页版,https://wx1.sinaimg.cn/large/0081ljw4ly1i6s0pu3lh8j308c08cq35.jpg,,,,蓝V,非会员,0
5226703129151550,QbcFyCoJE,1700560243,南京大学本科招生,#小南分享##欢迎报考南京大学#冀往南雍，鲸彩纷呈：南京大学2025级河北籍新生见面会顺利举行2025年9月20日，南京大学2025级河北籍新生见面会在仙林校区化学楼顺利举行。河北省招生组组长、化学化工学院副院长俞寿云教授出席会议，河北籍本科新生、往届优秀学生以及招生志愿者齐聚一堂，共赴这场专属的“家乡之约”。见面会由河北省招生宣传理事长、历史学院2024级本科生韩雨彤同学主持，为新生们搭建起了解南大、联结同乡的温暖桥梁。O网页链接,,,,"小南分享,欢迎报考南京大学",0,0,1,2025-10-28 12:43,微博网页版,"https://wx2.sinaimg.cn/large/655c7d73ly1i6rznp46v5j20u00irjtc.jpg,https://wx3.sinaimg.cn/large/655c7d73ly1i6rznp46rij20u00jl40m.jpg,https://wx3.sinaimg.cn/large/655c7d73ly1i6rznp9xu3j20sg0iz7lm.jpg,https://wx4.sinaimg.cn/large/655c7d73ly1i6rznp3jl3j20sg0j0t9p.jpg,https://wx1.sinaimg.cn/large/655c7d73ly1i6rznp9dbij20sg0e0000.jpg,https://wx3.sinaimg.cn/large/655c7d73ly1i6rznp41k4j20sg0j0mya.jpg,https://wx4.sinaimg.cn/large/655c7d73ly1i6rznp3f2hj20sg0j0jse.jpg,https://wx2.sinaimg.cn/large/655c7d73ly1i6rznp4yrmj20u00mi77j.jpg,https://wx2.sinaimg.cn/large/655c7d73ly1i6rznpa1x3j20sg0iz7nc.jpg",,,,蓝V,会员,6
5226701157303628,QbcCnuE0s,1996861163,水袖微凉,我是个内向的人，不擅长社交，能保持联系的朋友，都是常见面的，或者对方主动的。早年被拉进上海老乡群，也是一直潜水。猛然发现有个初中同学在群里说话，再看title，中科院博士、研究员，xx生物联合创始人，这么多高端头衔，不明觉厉。想上前打招呼叙叙旧，又感觉多年没联络很冒昧。中科院，到现在都是遥不可及的顶尖存在，那些能参与的，都是学霸级人物，在某些项目有重大发现突破。当然，大家都要回归到现实生活中。有次和朋友吃饭，一起的还有位南京大学博导，席间聊起的，也是社会经济现状，各个学科就业情况，小孩读书培养等，非常平易近人。,,,,,0,0,0,2025-10-28 12:35,nova 10 主角影像,https://wx2.sinaimg.cn/large/7705aeebgy1i6rsradfi9j20u0140tdk.jpg,,,,普通用户,非会员,0
5226698427074428,QbcxYtGnG,7367833559,书肆巡阅使,"#新书推送#《四海资身笔一枝：唐寅的书画人生》作者:车旭东出版社:凤凰出版社出版年:2025-9页数:298定价:168ISBN:9787550645950内容简介······“江南第一风流才子”唐寅虽名满天下，但其真实艺术面貌却因大量赝品存在而难以辨识。本书以扎实学术研究为基础，首次将散落全球的86件唐寅真迹完整汇集，为读者提供了一把打开唐寅艺术世界的金钥匙。86件真迹：一场视觉与知识的盛宴故宫博物院、上海博物馆、南京博物院、辽宁省博物馆、天津博物馆、中国美术馆、苏州博物馆、广东省博物馆、四川博物院、贵州省博物馆、无锡博物院、青岛市博物馆、苏州湾博物馆、南京大学博物馆、苏州灵岩山寺台北故宫博物院、香港艺术馆、香港中文大学文物馆美国大都会艺术博物馆、美国波士顿艺术博物馆、美国佛利尔·赛克勒美术馆、大英博物馆、日本京都国立博物馆、日本大阪市立美术馆本书收录的86件真迹来自全球多家**文博机构，涵盖山水、人物、花鸟等各类绘画题材，并包含其重要书法作品与珍贵题跋，完整串联起唐寅的艺术人生。作者简介······车旭东，1990年生,云南澄江人。本、硕、博均毕业于南京大学考古文物系,考古学博士。毕业后任南京大学考古文物系助理研究员,现为南京大学考古文博与中华文明研究院助理教授,主要从事中国美术史、书画鉴定方向的教学与研究。博士论文《唐寅书画鉴定研究》,曾在相关学术刊物上发表论文三十余篇,参与编写《中国书画鉴定纲要》。",,,,新书推送,0,0,3,2025-10-28 12:24,微博网页版,https://wx1.sinaimg.cn/large/0082CG59ly1i6rz46771kj307i07i3yh.jpg,,,,红V,超级会员,2
5226695000326177,Qbcss1mQV,1768409523,南京大学,#挑战杯南大见##小南分享##第十九届挑战杯中国移动全国大学生课外学术科技作品竞赛#终审决赛将于10月31日-11月3日在南京大学举办！南京大学欢迎您！南京地铁“挑战杯”竞赛专列已上线，让我们共同开启一场不负时代、不负青春的科创之旅！#挑战杯##南大挑战杯#摄影：丁轶彦罗湛唐诗博剪辑：丁轶彦来源：南京大学新闻中心、南大青年L南京大学的微博视频,,,,"挑战杯南大见,小南分享,第十九届挑战杯中国移动全国大学生课外学术科技作品竞赛,挑战杯,南大挑战杯",3,2,8,2025-10-28 12:10,微博视频号,,"http://f.video.weibocdn.com/o0/U4w9y2DBlx08swWj6QVq01041200tfDJ0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1761985184&ssig=QZ1pJkP7p0&KID=unistore,video",,,蓝V,超级会员,1
5226685474802530,Qbcd5k9ma,1746072563,早安江苏JSBC,【起猛了！#机器人学会跳极乐净土了#网友：舞技不在我之下！】10月25日，@南京大学CITE|3DV联合实验室在网上发布了一条机器人跳舞视频《机乐净土》。视频中，人形机器人随着动感的音乐翩翩起舞，整体动作流畅稳定。网友表示，春晚的时候还像梦游，这进化速度太快了！@江苏新闻L江苏新闻的微博视频,,,"南京大学,江苏新闻",机器人学会跳极乐净土了,0,0,0,2025-10-28 11:33,微博视频号,,"http://f.video.weibocdn.com/o0/ZB7GGncZlx08swTJZi9q01041200bquD0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1761985184&ssig=frB7pSBoYg&KID=unistore,video",,,普通用户,会员,7
5226685357365389,QbccTuU4B,3213983693,新闻空间站,【起猛了！#机器人学会跳极乐净土了#网友：舞技不在我之下！】10月25日，@南京大学CITE|3DV联合实验室在网上发布了一条机器人跳舞视频《机乐净土》。视频中，人形机器人随着动感的音乐翩翩起舞，整体动作流畅稳定。网友表示，春晚的时候还像梦游，这进化速度太快了！@江苏新闻L江苏新闻的微博视频,,,"南京大学,江苏新闻",机器人学会跳极乐净土了,0,0,0,2025-10-28 11:32,微博视频号,,"http://f.video.weibocdn.com/o0/ZB7GGncZlx08swTJZi9q01041200bquD0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1761985184&ssig=frB7pSBoYg&KID=unistore,video",,,普通用户,会员,7
5226685332456723,QbccRaj6z,1842312240,荔直播,【起猛了！#机器人学会跳极乐净土了#网友：舞技不在我之下！】10月25日，@南京大学CITE|3DV联合实验室在网上发布了一条机器人跳舞视频《机乐净土》。视频中，人形机器人随着动感的音乐翩翩起舞，整体动作流畅稳定。网友表示，春晚的时候还像梦游，这进化速度太快了！@江苏新闻L江苏新闻的微博视频,,,"南京大学,江苏新闻",机器人学会跳极乐净土了,0,0,0,2025-10-28 11:32,微博视频号,,"http://f.video.weibocdn.com/o0/ZB7GGncZlx08swTJZi9q01041200bquD0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1761985184&ssig=frB7pSBoYg&KID=unistore,video",,,普通用户,会员,7
5226685312012105,QbccP8rrj,1764647261,新闻360,【起猛了！#机器人学会跳极乐净土了#网友：舞技不在我之下！】10月25日，@南京大学CITE|3DV联合实验室在网上发布了一条机器人跳舞视频《机乐净土》。视频中，人形机器人随着动感的音乐翩翩起舞，整体动作流畅稳定。网友表示，春晚的时候还像梦游，这进化速度太快了！@江苏新闻L江苏新闻的微博视频,,,"南京大学,江苏新闻",机器人学会跳极乐净土了,0,0,0,2025-10-28 11:32,微博视频号,,"http://f.video.weibocdn.com/o0/ZB7GGncZlx08swTJZi9q01041200bquD0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1761985184&ssig=frB7pSBoYg&KID=unistore,video",,,普通用户,会员,7
5226684452442141,Qbcbrafjn,1301904252,江苏新闻,【起猛了！#机器人学会跳极乐净土了#网友：舞技不在我之下！】10月25日，@南京大学CITE|3DV联合实验室在网上发布了一条机器人跳舞视频《机乐净土》。视频中，人形机器人随着动感的音乐翩翩起舞，整体动作流畅稳定。网友表示，春晚的时候还像梦游，这进化速度太快了！#00后用打印机造假币##义乌的伴飞小鸟玩具火了#L江苏新闻的微博视频,,,南京大学,"机器人学会跳极乐净土了,00后用打印机造假币,义乌的伴飞小鸟玩具火了",10,2,7,2025-10-28 11:29,微博视频号,,"http://f.video.weibocdn.com/o0/ZB7GGncZlx08swTJZi9q01041200bquD0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1761985184&ssig=frB7pSBoYg&KID=unistore,video",,,普通用户,超级会员,2
5226681167512210,Qbc68vwgG,2636706741,常州生态环境,【早上好！#江苏新闻AI早班车来了#】今天是10月28日星期二，农历九月初八。晨间新闻速览：①去年以来，江苏办理涉老案件近7000件；②江苏多地迎来冬候鸟“先遣部队”；③南京大学向全球公布“人工智能生物学”学科定义；④#宜兴前墅龙窑入选第七批国家工业遗产名单#……L江苏新闻的微博视频,,,,"江苏新闻AI早班车来了,宜兴前墅龙窑入选第七批国家工业遗产名单",0,0,1,2025-10-28 11:16,iPhone客户端,,"http://f.video.weibocdn.com/o0/uFDlN4qnlx08svTZFpSM01041200DHvl0E010.mp4?label=mp4_720p&template=720x1284.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1761985184&ssig=a1NAotHi6%2F&KID=unistore,video",,,蓝V,非会员,0
5226677043986817,QbbZugJ9v,2648011655,武汉水务,【干部素质提升年|正式开班，市区青年骨干提质赋能启新程】为深入贯彻省、市“干部素质提升年”工作部署，10月26日，市水务系统干部素质提升培训班在南京大学顺利开班。来自市区两级46名青年骨干齐聚南京，开启为期9天的集中培训。本次培训聚焦高质量城市建设、低碳绿色发展、水资源转化、流域综合治理、数字智能应用及应对极端气候等，旨在提升青年干部业务素养与履职能力，为推动武汉水务事业提质增效和高质量发展注入新动能。O网页链接@武汉发布@湖北日报@长江日报@荆楚网@极目新闻@武汉广播电视台@武汉晚报@湖北经视@湖北卫视@武汉身边事@湖北之声,,,"武汉发布,湖北日报,长江日报,荆楚网,极目新闻,武汉广播电视台,武汉晚报,湖北经视,湖北卫视,武汉身边事,湖北之声",,0,0,0,2025-10-28 10:59,微博网页版,"https://wx4.sinaimg.cn/large/9dd57387gy1i6rvuft1h2j20u00fttbp.jpg,https://wx2.sinaimg.cn/large/9dd57387gy1i6rvug1hhtj20u00kx407.jpg",,,,蓝V,非会员,0
5226670186562845,QbbOqrxil,1700560243,南京大学本科招生,#小南分享##欢迎报考南京大学#近日，南京大学张冰教授团队与数学家丘成桐院士团队合作攻克多中心大数据脑影像配准难题。这一成果标志着我校神经影像学与数学交叉的脑科学研究方面跻身世界前沿。O网页链接,,,,"小南分享,欢迎报考南京大学",0,0,0,2025-10-28 10:32,微博网页版,"https://wx4.sinaimg.cn/large/655c7d73gy1i6rvvqk8ncj20r60p7wmc.jpg,https://wx3.sinaimg.cn/large/655c7d73gy1i6rvvqol7ej20uw0mm18t.jpg,https://wx3.sinaimg.cn/large/655c7d73gy1i6rvvqmu27j20sy0sr4dw.jpg,https://wx3.sinaimg.cn/large/655c7d73gy1i6rvvql1r7j218k0chtfa.jpg",,,,蓝V,会员,6
5226669478510673,QbbNhzI0V,1659643027,快科技官方,【转化效率首超30%！我国太阳能电池研究取得新突破】南京大学助理教授林仁兴与教授谭海仁团队设计出一种基于偶极钝化策略的全钙钛矿叠层太阳能电池，其光电转换效率经日本电气安全和环境技术实验室认证，高达30.1%，标志着多晶薄膜太阳能电池的光电转化效率首次突破30%大关。目前，全钙钛矿叠层电池的效率提升主要受限于开路电压和填充因子偏小。论文第一作者兼通讯作者林仁兴指出，在铅—锡混合窄带隙钙钛矿电池中，实现高短路电流密度的同时难以兼顾较高的开路电压和填充因子，是制约效率的关键瓶颈。,,,,,0,0,2,2025-10-28 10:29,微博网页版,https://wx1.sinaimg.cn/large/62ec2493gy1i6rvt5tzezj20kl0bw433.jpg,,,,蓝V,非会员,0
5226666902424038,QbbJ8aaBo,7855877176,旧巷上弦月,这里好适合度假啊，佳能EOSR6@南京大学#佳能大学生影像节#度假，RF10-20mmF4L旧巷上弦月的微博视频,,,南京大学,佳能大学生影像节,0,1,0,2025-10-28 10:19,新浪微博4G版,,"http://f.video.weibocdn.com/o0/eEyYl8R5lx08swOVng0U010412005IPK0E010.mp4?label=mp4_720p&template=1024x576.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1761985199&ssig=ELELSoJFRF&KID=unistore,video",,,普通用户,非会员,0
5226662784405176,QbbCuitZe,5044281310,澎湃新闻,【#南京知名文保学者刘晓平逝世#，年仅48岁】#刘晓平逝世#澎湃新闻记者从相关方面获悉，南京知名文保学者刘晓平先生，因病医治无效，于2025年10月26日晚在南京逝世，年仅48岁。刘晓平，江苏镇江人，1978年生，曾就读于南京大学历史学系考古学专业。他生前曾担任南京古都学会会员、南京城墙保护志愿者协会理事、南京文物保护协会会员、南京红色文化志愿者、南京市玄武区检察院文物执法监督志愿者。刘晓平长期关注历史研究与文物保护工作，多次获得南京城墙十佳志愿者、南京城墙优秀志愿者等称号，并于2021年参与制作南京市《秦淮新河史料图片展》，参与编写《寻迹南京》《寻迹西安》等著作，著有《南京江宁石门张村疑似古城考》等论文，并曾参与南京城墙管理中心纪录片拍摄。O网页链接,,,,"南京知名文保学者刘晓平逝世,刘晓平逝世",36,109,333,2025-10-28 10:02,微博网页版,https://wx2.sinaimg.cn/large/005vnhZYgy1i6rv1aixv5j60sr0g6ag002.jpg,,,,普通用户,超级会员,3
